tier	gwas studies	PGS id	name	other names	GWAS tags	source	note
B	28	HealthABC	Health, Aging and Body Composition Study	Health ABC	Health ABC; HealthABC	PGS + GWAS	
B	28	HKDDDPC	Hong Kong Degenerative Disc Disease Population Cohort		HKDDDPC	PGS + GWAS	
B	28	ILCCO	International Lung Cancer Consortium (Lung cancer OncoArray project)		ILCCO	PGS + GWAS	
B	27	ADC	Alzheimer Disease Center		ADC	PGS + GWAS	
B	27	ADSP	Alzheimer's Disease Sequencing Project		ADSP	PGS + GWAS	
B	27	CLHNS	Cebu Longitudinal Health and Nutrition Survey		CLHNS	PGS + GWAS	
B	27	HerediGene	HerediGene study		HerediGene	PGS + GWAS	
B	27	HVH	Heart and Vascular Health Study		HVH	PGS + GWAS	
B	27	IHCS	Intermountain Heart Collaborative Study	Intermountain Healthcare	IHCS	PGS + GWAS	
B	27	JOCO	Johnston County Osteoarthritis Project		JOCO	PGS + GWAS	
B	27	LOLIPOP	London Life Sciences Population Study		LOLIPOP	PGS + GWAS	
B	26	ASTAGR	Asian Skin Traits and Genetic Research		ASTAGR	PGS + GWAS	
B	26	DALS	Diet, Activity, and Lifestyle Study		DALS	PGS + GWAS	
B	26	InCHIANTI	The Invecchiare in Chianti		INCHIANTI; InCHIANTI	PGS + GWAS	
B	26	J-MICC	The Japan Multi-institutional Collaborative Cohort Study		J-MICC	PGS + GWAS	
B	26	NBCS	Nijmegen Bladder Cancer Study		NBCS	PGS + GWAS	
B	26	QSKIN	QSkin Sun and Health Study	QSKIN Genetics	QSKIN; QSkin; Qskin	PGS + GWAS	
B	26	RIKEN	RIKEN		RIKEN	PGS + GWAS	
B	26	SMC	Swedish Mammography Cohort		SMC	PGS + GWAS	
B	26	SMHS	Shanghai Mens Health Study		SMHS	PGS + GWAS	
B	26	VITAL	VITamins And Lifestyle Cohort Study		VITAL	PGS + GWAS	
B	26	WASHS	Western Australia Sleep Health Study		WASHS	PGS + GWAS	
B	25	EMIF	European Medical Information Framework	EMIF-AD 90+, EMIF-AD PreclinAD	EMIF	PGS + GWAS	
B	25	FamHS	Family Heart Study		FAMHS; FamHS	PGS + GWAS	
B	25	HAPO	Hyperglycemia and Adverse Pregnancy Outcomes study		HAPO	PGS + GWAS	
B	25	OOA	Old Order Amish	Genetics of Cardiometabolic Health in the Amish Study; Old Order Amish (OOA) community of Lancaster, Pennsylvania part of NHLBI Trans-Omics for Precision Medicine (TOPMed)	OOA	PGS + GWAS	
B	24	CATHGEN	CATHeterization GENetics		CATHGEN	PGS + GWAS	
B	24	CRCGEN	Colorectal Cancer Genetics & Genomics		CRCGEN	PGS + GWAS	
B	24	INGI-Carlantino	Italian Network on Genetic Isolates-Carlantino		INGI-Carlantino	PGS + GWAS	
B	24	InterAct	InterAct		InterAct	PGS + GWAS	
B	24	Leipzig_Adults	Leipzig Adults	Leipzig Adults	Leipzig Adults; Leipzig_Adults	PGS + GWAS	
B	24	SAPALDIA	Swiss Study on Air Pollution and Lung Diseases in Adults		SAPALDIA	PGS + GWAS	
B	24		Bunkyo		Bunkyo	GWAS only	
B	24		Shimane-CoHRE		Shimane-CoHRE	GWAS only	
B	23	FAMHES	Guangxi Fangchenggang Area Male Health and Examination Survey		FAMHES	PGS + GWAS	
B	23	INGI-FVG	Italian Network on Genetic Isolates-Friuli-Venezia Giulia		INGI-FVG	PGS + GWAS	
B	23	OAI	Osteoarthritis Initiative		OAI	PGS + GWAS	
B	23	SWOG	Southwest Oncology Group		SWOG	PGS + GWAS	
B	22	LCCS	Leeds Colorectal Cancer Study		LCCS	PGS + GWAS	
B	22	NCCCS	North Carolina Colon Cancer Studies		NCCCS	PGS + GWAS	
B	21	ATBC	Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study		ATBC	PGS + GWAS	
B	21	GOCS_Chilean	Growth and Obesity Chilean Cohort Study		GOCS_Chilean	PGS + GWAS	
B	21	HEXA	Health Examinee Shared Control Study		HEXA	PGS + GWAS	
B	21	NFCCR	Newfoundland Familial Colon Cancer Registry		NFCCR	PGS + GWAS	
B	21	Toshiba	Toshiba cohort		Toshiba	PGS + GWAS	
B	21	WHI-MS	Womens Health Initiative Memory Study		WHI-MS	PGS + GWAS	
B	21	WHI-SHARe	Womens Health Initiative SNP Health Association Resource		WHI-SHARe	PGS + GWAS	
B	20	IoW	Isle of Wight	IOW	IoW	PGS + GWAS	
B	20	Starr	Starr County		STARR COUNTY; Starr	PGS + GWAS	
C	19	EFSOCH	Exeter Family Study of Childhood Health		EFSOCH	PGS + GWAS	
C	19	GLGC	Global Lipid Genetics Consortium		GLGC	PGS + GWAS	
C	19	Harvard	Harvard		Harvard	PGS + GWAS	
C	19	LATVIANBIOBANK	Latvian Biobank		LATVIANBIOBANK	PGS + GWAS	
C	19	MECC	Molecular Epidemiology of Colorectal Cancer Study		MECC	PGS + GWAS	
C	19	NHS2	Nurses Health Study II		NHS2	PGS + GWAS	
C	19	NIAAA	National Institute on Alcohol Abuse and Alcoholism		NIAAA	PGS + GWAS	
C	19	SCCS	NBHS/Southern Community Cohort		SCCS	PGS + GWAS	
C	19	TPMI	Taiwan Precision Medicine Initiative		TPMI	PGS + GWAS	
C	18	Baependi	Baependi Heart Study	BHS	BAEPENDI; Baependi	PGS + GWAS	
