ID	TYPE	label	member cohort	evidence	source
COHO:0000390	owl:NamedIndividual		COHO:0000577	The Swedish Infrastructure for Medical Population-Based Life-Course and Environmental Research (SIMPLER; https://www.simpler4health.se/w/sh/en) includes data from two large, ongoing population-based studies: the Cohort of Swedish Men (COSM) and the Swedish Mammography Cohort (SMC)58.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12987725/fullTextXML
COHO:0000411	owl:NamedIndividual		COHO:0000530	The population-based cohorts in the KoGES, including the KoGES_Ansan and Ansung study, the KoGES_health examinee (HEXA) study and the KoGES_cardiovascular disease association study (CAVAS), consist of community-dwellers and participants recruited from the national health examinee registry, men and women	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5837648/fullTextXML
COHO:0000411	owl:NamedIndividual		COHO:0000600	The population-based cohorts in the KoGES, including the KoGES_Ansan and Ansung study, the KoGES_health examinee (HEXA) study and the KoGES_cardiovascular disease association study (CAVAS), consist of community-dwellers and participants recruited from the national health examinee registry, men and women	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5837648/fullTextXML
COHO:0000471	owl:NamedIndividual		COHO:0000208	Both cohorts are part of the Human Functional Genomics Project (wwww.humanfunctionalgenomics.org), aimed at identifying the genetic and non-genetic determinants of the immune response.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10851559/fullTextXML
COHO:0000471	owl:NamedIndividual		COHO:0000447	The 500FG cohort consists of 534 healthy individuals of Caucasian origin and is part of the Human Functional Genomics Project (HFGP).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5787854/unicode
COHO:0000471	owl:NamedIndividual		COHO:0000502	Both cohorts were enrolled within the Human Functional Genomics Project (https://www.humanfunctionalgenomics.org).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10473835/fullTextXML
COHO:0000472	owl:NamedIndividual		COHO:0000451	The red blood cell (RBC)-Omics study, part of the larger NHLBI-funded Recipient Epidemiology and Donor Evaluation Study (REDS-III), aims to understand the genetic contribution to blood donor RBC characteristics.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9763692/fullTextXML
COHO:0000491	owl:NamedIndividual		COHO:0000489	In August 2012, following a request for applications22 for pediatric sites, eMERGE membership was extended to Children's Hospital of Philadelphia and a joint membership for Cincinnati Children's Hospital and Boston Children's Hospital (Figure 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3795928/fullTextXML
COHO:0000551	owl:NamedIndividual		COHO:0000374	For the EMIF-AD MBD data, a total of 2,136 proteins were quantified centrally using 11-plex tandem mass tag spectrometry in 366 individuals from the EMIF-AD MBD study [61] (subset of Amsterdam Dementia Cohort within EADB).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9547780/fullTextXML
COHO:0000608	owl:NamedIndividual		COHO:0000434	The FBPP is comprised of 4 different networks: GenNet, GENOA, HyperGEN, and SAPPHIRe.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC1201342/fullTextXML
COHO:0000608	owl:NamedIndividual		COHO:0000484	The FBPP is comprised of 4 different networks: GenNet, GENOA, HyperGEN, and SAPPHIRe.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC1201342/fullTextXML
